rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
164,"spotify:track:00j16DuIL1HPHjjLMNcYX0","BK, Luccas Carlos, Arit","Planos","Pirâmide Perdida Records",156,165,5,"1302714"
165,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",79,154,167,"1302019"
166,"spotify:track:69reWZKMmkwA7x27jBNK1Z","Felipe Rodrigues","Tudo É Perda - Ao Vivo","Felipe Rodrigues",146,164,5,"1294817"
167,"spotify:track:2oEqioA87yAgx4HMvLtyNt","Yasmin Sensação","Fanatismo","Ideia Distro Digital",13,129,16,"1292382"
168,"spotify:track:4H9ZFTGkTG8Frqhqsxrgrs","BK, Luccas Carlos, Nansy Silvvz, Gigantes","Músicas de amor nunca mais","Gigantes",101,-1,38,"1292236"
169,"spotify:track:3aDV90V6vHUSYKKYDLNdQ8","Israel & Rodolffo, Jorge & Mateus","Marca Evidente - Ao Vivo","DAMASCENO MUSIC",58,189,64,"1278091"
170,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",85,134,5,"1277350"
171,"spotify:track:7bukHRNgGLRySTJEVvLoIR","Henrique & Juliano","Briga Feia (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",22,-1,178,"1271659"
172,"spotify:track:3M4HJl7D77l86gL1QXGJHG","Lauana Prado, Simone Mendes","Saudade Burra - Ao Vivo","Universal Music Ltda.",11,176,64,"1271580"
173,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",173,187,6,"1267125"
174,"spotify:track:6JKkP9ABQzYZUFSKSVDKIc","1Kilo, Baviera, Knust, Pablo Martins","Deixe Me Ir (feat. Pablo Martins) - Acústico 1Kilo","1Kilo Records",1,182,181,"1263688"
175,"spotify:track:6swbbMI7aNHRAJgNaP5Ku0","Filho do Piseiro, Claudio Ney & Juliana","Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco","Elite Music",78,128,4,"1262936"
176,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",48,175,70,"1262239"
177,"spotify:track:19QGIdhhRCB303eGVUQyZM","O Rappa","Auto-reverse","WM Brazil",177,-1,2,"1260278"
178,"spotify:track:1pjpPXl66t4FeQaFscpG73","Henrique & Juliano","Cidade Vizinha (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",6,192,132,"1259678"
179,"spotify:track:7D9BJEcWwRqvQVqPbj1dbF","Preta Gil","Sinais de fogo","WM Brazil",127,155,4,"1253152"
180,"spotify:track:0rosNwHC9T8YNu3EvXLPfX","Ferrugem","Me Bloqueia (Ao Vivo)","WM Brazil",65,196,69,"1252854"
181,"spotify:track:3Hd5fVKydmRK2vjhXVxqgU","Vitor Limma","Amor de Fim de Noite / Por Favor / Nem Aí - Ao Vivo","3 Desejos Produções Artísticas",50,162,32,"1248325"
182,"spotify:track:2GfxgssRHvY1azHtaRqKoK","Jorge & Mateus","Paredes - Ao Vivo","Som Livre",16,174,75,"1246889"
183,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",5,169,84,"1245478"
184,"spotify:track:3oTuTpF1F3A7rEC6RKsMRz","Dave, Tems","Raindance (feat. Tems)","Neighbourhood",184,199,2,"1243190"
185,"spotify:track:5JC2ezFSbkVi4Js4byzKoj","MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Pineapple StormTv","Poesia Acústica #6 Era uma Vez","Pineapple StormTV",18,159,239,"1242044"
186,"spotify:track:3OWSHDzbEdLPQ30vjRxOxo","Fernandinho","Santo Pra Sempre - Ao Vivo no Mineirão","Faz Chover Produções LTDA.",154,186,9,"1240434"
