rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
37,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,42,66,"589687"
38,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",10,27,3,"581719"
39,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Teléfono","Machete Music",19,40,36,"576015"
40,"spotify:track:433eYQkvCgJKXh1o7LtplV","Yeison Jimenez","Por Qué la Envidia","YJ COMPANY",3,23,23,"575859"
41,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",18,38,271,"564148"
42,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",3,50,47,"555823"
43,"spotify:track:1YAWMfsmduIrpqrjP45pFn","Omar Courtz, Ñengo Flow","FOREVER TU GANTEL","Rimas Entertainment LLC.",15,46,7,"549523"
44,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",18,35,3,"543507"
45,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",26,49,3,"542905"
46,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",2,45,43,"542414"
47,"spotify:track:5sX4UiPdOdndSEWA6asUgh","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante - Remix","El Bogueto",36,57,16,"541937"
48,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,78,482,"536323"
49,"spotify:track:5oG6xYYuukHrsK1SLagCn0","J Balvin, Ryan Castro","Pal Agua","Capitol Records",49,82,2,"533153"
50,"spotify:track:6cZcn282SIMmuO8FHN8634","Yeison Jimenez","Vete","Yeison Jimenez",10,36,24,"529107"
51,"spotify:track:7hYlC6s0SXSIwtFlW6NgjT","W Sound, Myke Towers, Ovy On The Drums","5 Estrellas - W Sound 23","WEA Latina",29,140,8,"528761"
52,"spotify:track:13BDiikG6y5o5cQTK0HpW6","W Sound, Blessd, Ovy On The Drums","Soltera - W Sound 01","WEA Latina",1,66,88,"527418"
53,"spotify:track:569xAmXCkpM3IsEOiG4hWe","Kenny Die, Blessd, Kris R., Sebas","Ultra Complicado (feat. Sebas) - Remix","WEA Latina",3,73,60,"522486"
